 0 40000.000000 	  3.41970e+00 	 2.12890e+01 	 -7.81325e-01 	1.81466e-02 	 3.94052e-02 	 9.98925e-01 	 6.99814e+01 	 6.18529e-01 	 1.37712e-02 	 0  
 1 40000.000000 	  3.20732e+00 	 4.30454e+02 	 2.43711e-01 	5.51621e-01 	 8.30230e-01 	 -7.94453e-02 	 6.99915e+01 	 1.31425e+00 	 8.26088e-01 	 1  
 2 40000.000000 	  3.53069e+00 	 2.23067e+02 	 6.70165e-01 	5.48750e-01 	 4.19377e-01 	 -7.22949e-01 	 6.99761e+01 	 1.22813e+00 	 4.61990e-01 	 1  
 3 40000.000000 	  3.34458e+00 	 3.39747e+02 	 7.83556e-01 	-7.17240e-01 	 6.96561e-01 	 -1.08181e-02 	 6.99824e+01 	 1.12750e+00 	 6.51279e-01 	 1  
 4 40000.000000 	  3.97539e+00 	 1.93028e+01 	 4.50599e-01 	9.02658e-01 	 -3.23759e-01 	 2.83120e-01 	 6.99838e+01 	 7.92739e-01 	 -3.45607e-01 	 0  
 5 3.200000 	  4.26395e+00 	 9.09340e+00 	 7.12330e-01 	6.82963e-01 	 2.95604e-01 	 6.67967e-01 	 6.99999e+01 	 4.73464e-03 	 1.99644e-01 	 1  
 6 40000.000000 	  3.84227e+00 	 4.02047e+02 	 6.48070e-01 	-5.31253e-01 	 8.28151e-01 	 -1.78206e-01 	 6.99876e+01 	 9.48827e-01 	 8.19025e-01 	 1  
 7 40000.000000 	  3.94087e+00 	 1.70022e+01 	 1.01211e+00 	-9.96867e-01 	 3.61422e-02 	 -6.92683e-02 	 6.99893e+01 	 4.73113e-01 	 -2.46587e-02 	 0  
 8 40000.000000 	  3.34835e+00 	 2.64091e+02 	 -7.67993e-01 	-6.55893e-01 	 4.76997e-01 	 5.84607e-01 	 6.99641e+01 	 6.51780e-01 	 5.19323e-01 	 1  
 9 40000.000000 	  3.73461e+00 	 2.02145e+02 	 4.55710e-01 	-4.65243e-01 	 5.21350e-01 	 7.15134e-01 	 6.99771e+01 	 1.19175e+00 	 4.53150e-01 	 1  
