0.56036	61701.0673998909
0.67162	99854.9570992018
0.80496	141860.81389887
0.96477	184295.695696398
1.1563	225833.79232506
1.3859	267123.278251112
1.661	310160.940170869
1.9908	357790.648081462
2.386	413381.027506904
2.8597	480927.654823459
3.4275	565353.676418603
4.108	672646.079425995
4.9235	810447.814528827
5.901	988870.875155
7.0726	1220861.44773461
8.4767	1523386.23662243
10.16	1918330.80536241
12.177	2432947.64786527
14.594	3100870.09720445
17.492	3961503.12043664
20.964	5057536.75546691
25.126	6430544.47341928
30.115	8112092.37343768
36.094	10109554.5940486
43.259	12389290.8405728
51.848	14856967.4382796
62.142	17343226.7405892
74.479	19603045.2043786
89.265	21340856.550842
106.99	22262628.40804
128.23	22146742.0698008
153.69	20921106.6347634
184.2	18700362.7698448
220.77	15775919.1137982
264.6	12542036.3471397
317.13	9393890.4509156
380.09	6636241.52429874
455.55	4432406.3831379
545.99	2809829.66657637
654.39	1699162.25520667
784.31	986097.857775147
940.02	552843.77812954
1126.7	301443.73361979
1350.3	160804.501961939
1618.4	84302.4096505161
1939.7	43498.9035320091
2324.8	22032.0699804749
2786.4	10858.8551127126
3339.6	5121.06340581534
4002.6	2248.29578621899
