1.0007	33540.6330620733
1.1766	41067.9751670251
1.3835	53025.4750383594
1.6268	69289.5811506801
1.9129	89344.5563446789
2.2492	112189.079954505
2.6447	136601.135528652
3.1098	161581.501795334
3.6567	186772.917076347
4.2997	212678.918840563
5.0557	240689.461241121
5.9447	273024.654677743
6.9901	312705.746948733
8.2193	363680.550552319
9.6646	431030.865428749
11.364	521367.061605618
13.362	643133.103691895
15.712	806906.587432216
18.475	1025001.11113238
21.724	1310524.7002147
25.544	1674552.58691939
30.036	2121769.93972784
35.317	2644468.19326998
41.527	3216420.15526645
48.83	3788658.78617027
57.417	4292999.04763178
67.513	4652996.75115519
79.385	4802616.30635563
93.344	4707157.97110038
109.76	4374702.5630567
129.06	3855560.99683851
151.75	3228177.9237745
178.44	2575317.5701332
209.82	1965558.50197606
246.71	1442356.81663066
290.09	1023180.2157126
341.11	705525.185054749
401.09	475263.02544842
471.61	314096.003337971
554.55	204215.038671551
652.06	130724.83226487
766.72	82252.7244510028
901.55	50637.8045340027
1060.1	30260.9580894668
1246.5	17348.9981193808
1465.7	9394.60488978719
1723.4	4710.3236778349
2026.5	2135.48203014189
2382.8	851.435747376561
2801.8	289.43192691806
4000.0	0.0
