0.0000	0.000	0.0005	0.001	0.005	0.01	0.05	0.1
0.0001	14700	85.95	60.46	25.86	17.4	5.888	3.335
0.0016	3674	85.94	60.46	25.86	17.4	5.888	3.335
0.0081	1633	85.89	60.44	25.85	17.4	5.888	3.335
0.0256	918.5	85.76	60.39	25.85	17.39	5.888	3.335
0.0625	587.8	85.49	60.29	25.84	17.39	5.888	3.335
0.1296	408.2	85.00	60.1	25.82	17.38	5.887	3.335
0.2401	299.8	84.19	59.79	25.79	17.37	5.886	3.334
0.4096	229.5	82.98	59.32	25.75	17.36	5.885	3.334
0.6561	181.2	81.26	58.65	25.69	17.33	5.883	3.333
1.000	146.7	78.96	57.74	25.6	17.3	5.88	3.332
1.464	121.2	76.01	56.56	25.48	17.26	5.876	3.331
2.074	101.7	72.39	55.07	25.33	17.2	5.871	3.329
2.856	86.55	68.14	53.26	25.13	17.13	5.865	3.327
3.842	74.51	63.34	51.14	24.89	17.04	5.857	3.325
5.063	64.77	58.18	48.72	24.59	16.93	5.847	3.322
6.554	56.79	52.9	46.06	24.24	16.8	5.835	3.318
8.352	50.15	47.8	43.22	23.83	16.64	5.82	3.313
10.5	44.58	43.19	40.26	23.35	16.45	5.803	3.307
13.03	39.84	39.24	37.25	22.8	16.23	5.782	3.301
16.00	35.79	35.94	34.28	22.19	15.99	5.758	3.293
19.45	32.28	32.99	31.41	21.51	15.7	5.731	3.284
23.43	29.22	29.99	28.69	20.76	15.39	5.699	3.274
27.98	26.54	26.69	26.17	19.97	15.04	5.663	3.262
33.18	24.17	23.35	23.91	19.13	14.66	5.623	3.249
39.06	22.07	20.66	21.91	18.23	14.24	5.577	3.234
45.7	20.19	19.23	20.16	17.32	13.79	5.527	3.217
53.14	18.51	18.91	18.57	16.38	13.31	5.47	3.198
61.47	16.99	18.61	17.07	15.44	12.81	5.408	3.177
70.73	15.62	17.12	15.6	14.5	12.28	5.34	3.154
81.00	14.37	14.29	14.19	13.58	11.74	5.266	3.129
92.35	13.24	11.44	12.97	12.68	11.18	5.185	3.101
104.9	12.2	10.24	12.03	11.81	10.61	5.098	3.071
118.6	11.25	11.02	11.33	10.98	10.04	5.005	3.039
133.6	10.37	12.21	10.66	10.19	9.474	4.905	3.003
150.1	9.568	11.71	9.800	9.45	8.91	4.799	2.965
168.0	8.827	9.112	8.752	8.753	8.358	4.686	2.924
187.4	8.143	6.257	7.782	8.101	7.82	4.568	2.881
208.5	7.512	5.366	7.187	7.493	7.301	4.444	2.834
231.3	6.928	6.74	6.977	6.927	6.801	4.314	2.785
256.0	6.389	8.338	6.794	6.400	6.325	4.179	2.733
282.6	5.89	7.836	6.255	5.912	5.872	4.04	2.678
311.2	5.428	5.303	5.367	5.458	5.445	3.897	2.621
341.9	5.001	3.086	4.572	5.037	5.042	3.75	2.561
374.8	4.606	3.052	4.278	4.647	4.665	3.601	2.498
410.1	4.242	4.737	4.388	4.285	4.312	3.449	2.433
447.7	3.904	5.787	4.369	3.949	3.982	3.296	2.365
488.0	3.593	4.584	3.853	3.639	3.675	3.143	2.296
530.8	3.305	2.393	3.079	3.351	3.39	2.989	2.225
576.5	3.04	1.481	2.622	3.085	3.125	2.836	2.152
625.0	2.795	2.43	2.702	2.84	2.879	2.685	2.077
