0.00	0.00	5	20
1.822	44340000	51360000	28630000
3.32	53000000	50260000	27540000
6.05	60520000	47480000	25670000
11.02	60440000	41030000	22540000
20.09	37500000	28710000	17730000
36.6	9521000	12870000	11350000
66.69	1298000	2670000	4936000
121.5	122400	236800	1065000
221.4	8500	13410	75250
403.4	488.6	642.7	1929
