0.000	0.0	0.01	0.1	0.5	5	20
1.822	0	58140000	53720000	35560000	16380000	9722000
3.32	0	58480000	53690000	35560000	16380000	9722000
6.05	0	59070000	53640000	35540000	16380000	9722000
11.02	36540000	60050000	53540000	35530000	16380000	9722000
20.09	43760000	61540000	53370000	35490000	16380000	9721000
36.6	65390000	62900000	53050000	35430000	16370000	9721000
66.69	72200000	65060000	52490000	35310000	16370000	9720000
121.5	69490000	64690000	51490000	35100000	16350000	9718000
221.4	62770000	60790000	49790000	34730000	16330000	9714000
403.4	54700000	54000000	47020000	34080000	16290000	9708000
