0.00	0.00	1	5	20
1.822	141700000	141000000	102400000	36220000
3.32	162200000	141200000	93120000	34330000
6.05	150900000	121200000	77430000	31130000
11.02	73910000	70820000	53840000	26030000
20.09	15310000	20260000	26290000	18790000
36.6	1908000	2629000	6687000	10350000
66.69	165900	212200	641200	3483000
121.5	10800	12750	27820	485000
221.4	600.9	662.8	1031	16000
403.4	31.51	33.28	42.09	158.3
