0.00	0.0	5	20
1.822	81210	280800	854400
3.32	164200	309000	897700
6.05	257800	360000	976500
11.02	370200	459500	1119000
20.09	389000	681800	1373000
36.6	858900	1205000	1806000
66.69	2086000	2185000	2470000
121.5	3328000	3296000	3270000
221.4	3988000	3956000	3868000
403.4	4046000	4031000	3986000
