0.00	0.0	0.01	0.1	0.5	5	20
1.822	0	18550000	18130000	11050000	4550000	2567000
3.32	0	18740000	18120000	11050000	4550000	2567000
6.05	0	19060000	18100000	11040000	4550000	2567000
11.02	0	19610000	18060000	11040000	4550000	2567000
20.09	9851000	20450000	17990000	11020000	4549000	2567000
36.6	21970000	21570000	17860000	11000000	4548000	2567000
66.69	26070000	22630000	17630000	10960000	4546000	2566000
121.5	25150000	22780000	17230000	10880000	4542000	2566000
221.4	22100000	21200000	16540000	10750000	4536000	2565000
403.4	18500000	18240000	15420000	10510000	4524000	2563000
