0.00	0.0	0.01	0.1	0.5	5	20
1.822	0	518600	2808000	2512000	1222000	711300
3.32	0	542400	2809000	2511000	1222000	711300
6.05	0	585800	2811000	2511000	1222000	711300
11.02	0	664400	2814000	2510000	1222000	711200
20.09	0	806000	2819000	2508000	1222000	711200
36.6	0	1056000	2829000	2505000	1221000	711200
66.69	577200	1472000	2846000	2499000	1221000	711100
121.5	1849000	2085000	2871000	2488000	1220000	711000
221.4	2857000	2773000	2903000	2469000	1218000	710700
403.4	3341000	3224000	2924000	2435000	1215000	710200
